date,price,volume,type_organic
2015-01-04,0.95,313.2427773,0
2015-01-11,1.01,290.6354275,0
2015-01-18,1.03,290.4345885,0
2015-01-25,1.04,284.7031084,0
2015-02-01,0.89,446.5546151,0
2015-02-08,0.95,321.37333010000003,0
2015-02-15,1.03,280.1252093,0
2015-02-22,1.02,299.36729760000003,0
2015-03-01,0.97,329.9401416,0
2015-03-08,1.02,300.94698850000003,0
2015-03-15,1.04,295.72225710000004,0
2015-03-22,1.01,325.1355051,0
2015-03-29,1.04,299.8264843,0
2015-04-05,1.06,315.0066944,0
2015-04-12,1.02,320.4640164,0
2015-04-19,1.03,330.9125626,0
2015-04-26,1.07,308.941578,0
2015-05-03,0.96,412.9170439,0
2015-05-10,1.02,364.00886579999997,0
2015-05-17,1.06,320.2768615,0
2015-05-24,1.04,353.4418315,0
2015-05-31,1.03,337.20159090000004,0
2015-06-07,1.0,365.49995659999996,0
2015-06-14,0.98,370.2608575,0
2015-06-21,1.02,357.346139,0
2015-06-28,1.06,324.087057,0
2015-07-05,1.04,379.43670340000006,0
2015-07-12,1.07,316.6003168,0
2015-07-19,1.07,323.2464766,0
2015-07-26,1.07,306.5221108,0
2015-08-02,1.09,303.5846788,0
2015-08-09,1.05,332.5491187,0
2015-08-16,1.05,319.3685618,0
2015-08-23,1.08,296.9984561,0
2015-08-30,1.07,297.6163848,0
2015-09-06,1.02,335.2648008,0
2015-09-13,1.03,312.4583565,0
2015-09-20,1.02,295.6908656,0
2015-09-27,1.03,277.5350814,0
2015-10-04,1.02,282.4350552,0
2015-10-11,1.0,292.16198149999997,0
2015-10-18,0.99,293.751236,0
2015-10-25,1.04,262.4007211,0
2015-11-01,0.97,310.4748427,0
2015-11-08,0.97,284.8571597,0
2015-11-15,0.92,285.9775627,0
2015-11-22,0.96,251.1422811,0
2015-11-29,0.99,226.17999379999998,0
2015-12-06,0.89,288.0039657,0
2015-12-13,0.93,280.4133538,0
2015-12-20,0.98,250.8364717,0
2015-12-27,0.95,272.9798367,0
2016-01-03,0.86,381.4208804,0
2016-01-10,0.93,352.6433601,0
2016-01-17,0.94,344.2634187,0
2016-01-24,0.95,327.8707921,0
2016-01-31,0.93,347.2124992,0
2016-02-07,0.76,522.8869789,0
2016-02-14,0.88,364.7644186,0
2016-02-21,0.94,328.04733219999997,0
2016-02-28,0.91,368.0181768,0
2016-03-06,0.95,350.6450604,0
2016-03-13,0.93,363.74516140000003,0
2016-03-20,0.93,363.3548378,0
2016-03-27,0.94,359.3019592,0
2016-04-03,0.94,336.68450549999994,0
2016-04-10,0.9,365.8402939,0
2016-04-17,0.9,374.6788519,0
2016-04-24,0.87,396.07695299999995,0
2016-05-01,0.84,428.6760854,0
2016-05-08,0.82,463.24529700000005,0
2016-05-15,0.89,399.14996740000004,0
2016-05-22,0.93,369.58035509999996,0
2016-05-29,0.94,400.1907524,0
2016-06-05,0.97,402.3125965,0
2016-06-12,1.04,355.8082,0
2016-06-19,1.02,384.89936140000003,0
2016-06-26,1.04,366.1702379,0
2016-07-03,1.06,399.9318604,0
2016-07-10,1.1,355.6756843,0
2016-07-17,1.15,326.56123629999996,0
2016-07-24,1.2,323.3937709,0
2016-07-31,1.23,312.01590219999997,0
2016-08-07,1.15,338.19909090000004,0
2016-08-14,1.12,343.86177299999997,0
2016-08-21,1.1,335.9209772,0
2016-08-28,1.09,339.93931310000005,0
2016-09-04,1.04,371.3068891,0
2016-09-11,1.08,341.2673095,0
2016-09-18,1.15,313.4609146,0
2016-09-25,1.22,303.0511289,0
2016-10-02,1.23,296.15008489999997,0
2016-10-09,1.27,288.5758198,0
2016-10-16,1.3,277.0704682,0
2016-10-23,1.34,247.53513949999999,0
2016-10-30,1.43,210.0973021,0
2016-11-06,1.44,225.34698379999998,0
2016-11-13,1.36,240.7512649,0
2016-11-20,1.27,249.8970275,0
2016-11-27,1.21,229.23062649999997,0
2016-12-04,1.0,316.212219,0
2016-12-11,0.98,300.935407,0
2016-12-18,0.96,295.8388261,0
2016-12-25,1.0,302.878537,0
2017-01-01,0.89,388.7971685,0
2017-01-08,0.99,380.49802619999997,0
2017-01-15,0.98,382.9548831,0
2017-01-22,0.94,421.4039339,0
2017-01-29,0.96,393.7357925,0
2017-02-05,0.77,610.344571,0
2017-02-12,0.87,410.7747065,0
2017-02-19,0.99,339.0585458,0
2017-02-26,0.99,370.07797689999995,0
2017-03-05,1.13,336.84175009999996,0
2017-03-12,1.22,320.2057394,0
2017-03-19,1.25,315.9512523,0
2017-03-26,1.24,325.5511932,0
2017-04-02,1.21,344.6801736,0
2017-04-09,1.21,347.8571255,0
2017-04-16,1.23,351.82320780000003,0
2017-04-23,1.18,357.2901392,0
2017-04-30,1.18,383.1550043,0
2017-05-07,1.09,472.939216,0
2017-05-14,1.19,366.3426903,0
2017-05-21,1.26,343.97651149999996,0
2017-05-28,1.28,370.30893729999997,0
2017-06-04,1.24,373.52360590000006,0
2017-06-11,1.21,370.398538,0
2017-06-18,1.18,382.47669329999997,0
2017-06-25,1.17,373.0530768,0
2017-07-02,1.21,380.1042616,0
2017-07-09,1.17,393.6733618,0
2017-07-16,1.33,324.5504711,0
2017-07-23,1.31,326.0830151,0
2017-07-30,1.32,317.5609722,0
2017-08-06,1.33,325.2992023,0
2017-08-13,1.33,328.1725413,0
2017-08-20,1.41,299.1374437,0
2017-08-27,1.47,287.8527975,0
2017-09-03,1.57,268.08410649999996,0
2017-09-10,1.56,263.8508136,0
2017-09-17,1.57,253.94902820000001,0
2017-09-24,1.62,246.3714838,0
2017-10-01,1.64,246.1064521,0
2017-10-08,1.65,243.97166190000002,0
2017-10-15,1.58,250.3158909,0
2017-10-22,1.44,267.0697151,0
2017-10-29,1.29,302.37911230000003,0
2017-11-05,1.19,320.5159424,0
2017-11-12,1.15,323.36225,0
2017-11-19,1.17,292.53484,0
2017-11-26,1.24,246.86675,0
2017-12-03,1.09,338.24253,0
2017-12-10,1.03,356.34913009999997,0
2017-12-17,1.07,307.5776703,0
2017-12-24,1.18,291.0234933,0
2017-12-31,0.98,382.6734161,0
2018-01-07,1.13,367.0315672,0
2018-01-14,1.2,372.9994522,0
2018-01-21,1.08,429.3982155,0
2018-01-28,1.09,401.71640840000003,0
2018-02-04,0.87,625.0564652,0
2018-02-11,0.97,431.67806090000005,0
2018-02-18,1.08,367.0988749,0
2018-02-25,1.06,400.21528759999995,0
2018-03-04,1.07,407.41214049999996,0
2018-03-11,1.09,404.49603119999995,0
2018-03-18,1.05,413.8631412,0
2018-03-25,1.03,434.0983575,0
2015-01-04,1.46,6.1291015,1
2015-01-11,1.42,6.6952888,1
2015-01-18,1.42,7.1312,1
2015-01-25,1.53,5.5636886,1
2015-02-01,1.36,7.4089697,1
2015-02-08,1.48,7.308743100000001,1
2015-02-15,1.58,6.16177,1
2015-02-22,1.51,6.734466899999999,1
2015-03-01,1.4,8.1448479,1
2015-03-08,1.49,7.8391305000000004,1
2015-03-15,1.5,6.445846700000001,1
2015-03-22,1.49,6.8264003,1
2015-03-29,1.6,6.7455102,1
2015-04-05,1.63,6.6184202,1
2015-04-12,1.53,8.1001827,1
2015-04-19,1.59,6.7590797,1
2015-04-26,1.45,8.7223907,1
2015-05-03,1.37,9.1268157,1
2015-05-10,1.42,8.6167111,1
2015-05-17,1.5,7.6197265000000005,1
2015-05-24,1.59,7.142663100000001,1
2015-05-31,1.58,7.1694271,1
2015-06-07,1.67,6.4044859,1
2015-06-14,1.68,6.4609842,1
2015-06-21,1.66,6.3819289,1
2015-06-28,1.64,6.5994703,1
2015-07-05,1.0,6.68233,1
2015-07-12,1.0,6.08845,1
2015-07-19,1.0,6.50389,1
2015-07-26,1.0,5.80826,1
2015-08-02,1.0,5.73873,1
2015-08-09,1.0,6.25259,1
2015-08-16,1.75,6.446897099999999,1
2015-08-23,1.72,6.6627626,1
2015-08-30,1.66,6.7000594,1
2015-09-06,1.78,5.9379717,1
2015-09-13,1.8,5.5205964000000005,1
2015-09-20,1.77,5.1524082,1
2015-09-27,1.75,5.0181487,1
2015-10-04,1.72,5.5739273,1
2015-10-11,1.69,5.1989266999999995,1
2015-10-18,1.71,5.1803486,1
2015-10-25,1.62,5.608305400000001,1
2015-11-01,1.47,6.477891700000001,1
2015-11-08,1.54,6.0519712,1
2015-11-15,1.6,5.1134726,1
2015-11-22,1.49,5.8427679,1
2015-11-29,1.5,5.0783081,1
2015-12-06,1.52,5.1411296,1
2015-12-13,1.43,6.2430031,1
2015-12-20,1.53,5.3147824,1
2015-12-27,1.52,5.4978758999999995,1
2016-01-03,1.43,7.041005,1
2016-01-10,1.35,8.2867059,1
2016-01-17,1.44,6.9534142,1
2016-01-24,1.41,7.7696455,1
2016-01-31,1.43,7.720771999999999,1
2016-02-07,1.44,7.5879509999999994,1
2016-02-14,1.37,8.5246331,1
2016-02-21,1.45,7.3885692,1
2016-02-28,1.44,8.4501163,1
2016-03-06,1.28,10.1241585,1
2016-03-13,1.29,10.2365587,1
2016-03-20,1.27,10.454504100000001,1
2016-03-27,1.44,9.0064479,1
2016-04-03,1.44,9.3072239,1
2016-04-10,1.26,11.7960303,1
2016-04-17,1.38,10.2221732,1
2016-04-24,1.25,14.7545753,1
2016-05-01,1.28,13.17867,1
2016-05-08,1.3,11.379407800000001,1
2016-05-15,1.45,10.232521700000001,1
2016-05-22,1.36,11.6571501,1
2016-05-29,1.41,10.8515256,1
2016-06-05,1.43,10.1271793,1
2016-06-12,1.45,9.752755500000001,1
2016-06-19,1.45,10.7106666,1
2016-06-26,1.5,10.0737878,1
2016-07-03,1.47,10.735953700000001,1
2016-07-10,1.51,10.4342853,1
2016-07-17,1.63,10.1811827,1
2016-07-24,1.65,9.1948984,1
2016-07-31,1.58,9.4608781,1
2016-08-07,1.55,10.1223701,1
2016-08-14,1.48,10.932877900000001,1
2016-08-21,1.51,10.331697,1
2016-08-28,1.49,9.4853088,1
2016-09-04,1.54,10.5208877,1
2016-09-11,1.52,11.034888500000001,1
2016-09-18,1.67,8.7162758,1
2016-09-25,1.69,8.0889194,1
2016-10-02,1.71,7.909260300000001,1
2016-10-09,1.52,8.7836741,1
2016-10-16,1.5,8.1585949,1
2016-10-23,1.63,6.9976335,1
2016-10-30,1.93,6.477235500000001,1
2016-11-06,1.68,8.9767129,1
2016-11-13,1.7,8.6394815,1
2016-11-20,1.63,8.603205899999999,1
2016-11-27,1.64,7.6167587,1
2016-12-04,1.56,8.3276755,1
2016-12-11,1.42,8.5679563,1
2016-12-18,1.43,7.9704227,1
2016-12-25,1.34,9.1403542,1
2017-01-01,1.48,8.0897188,1
2017-01-08,1.43,9.9072183,1
2017-01-15,1.44,9.7572428,1
2017-01-22,1.37,9.9428298,1
2017-01-29,1.43,9.532061,1
2017-02-05,1.36,10.1562103,1
2017-02-12,1.41,10.6077598,1
2017-02-19,1.31,16.3487711,1
2017-02-26,1.21,14.366631499999999,1
2017-03-05,1.16,16.1939824,1
2017-03-12,1.38,13.375968899999998,1
2017-03-19,1.5,12.8401865,1
2017-03-26,1.29,15.811273600000002,1
2017-04-02,1.42,14.921674099999999,1
2017-04-09,1.43,13.874363200000001,1
2017-04-16,1.49,14.9333128,1
2017-04-23,1.61,11.9046118,1
2017-04-30,1.68,12.4817529,1
2017-05-07,1.57,13.9412623,1
2017-05-14,1.55,13.7512512,1
2017-05-21,1.71,12.105606100000001,1
2017-05-28,1.69,13.0220555,1
2017-06-04,1.64,13.5296047,1
2017-06-11,1.56,13.9744817,1
2017-06-18,1.71,13.045542900000001,1
2017-06-25,1.77,11.010099199999999,1
2017-07-02,1.74,11.7339306,1
2017-07-09,1.71,11.303747,1
2017-07-16,1.78,11.4835484,1
2017-07-23,1.76,12.1415819,1
2017-07-30,1.78,10.915907800000001,1
2017-08-06,1.83,10.599711399999999,1
2017-08-13,1.88,10.1470907,1
2017-08-20,1.96,10.7153825,1
2017-08-27,2.09,10.459920200000001,1
2017-09-03,2.06,10.7553853,1
2017-09-10,2.03,10.9395566,1
2017-09-17,2.0,10.745676999999999,1
2017-09-24,1.94,11.2544338,1
2017-10-01,1.95,10.7252135,1
2017-10-08,1.9,11.6414049,1
2017-10-15,1.85,11.7205719,1
2017-10-22,1.82,11.8082379,1
2017-10-29,1.84,11.237036100000001,1
2017-11-05,1.82,10.685300900000001,1
2017-11-12,1.81,10.4459143,1
2017-11-19,1.77,9.6788613,1
2017-11-26,1.72,9.5780072,1
2017-12-03,1.62,11.19325,1
2017-12-10,1.54,12.176803600000001,1
2017-12-17,1.57,11.486171599999999,1
2017-12-24,1.64,11.7993012,1
2017-12-31,1.52,12.4394009,1
2018-01-07,1.51,15.173326999999999,1
2018-01-14,1.59,14.7665108,1
2018-01-21,1.63,12.839876499999999,1
2018-01-28,1.61,13.369790900000002,1
2018-02-04,1.53,13.846834099999999,1
2018-02-11,1.56,13.1700047,1
2018-02-18,1.52,18.1492997,1
2018-02-25,1.57,14.598525500000001,1
2018-03-04,1.52,16.3443077,1
2018-03-11,1.52,16.6423488,1
2018-03-18,1.54,16.7580422,1
2018-03-25,1.55,15.599672,1
